,Price 1st,Price 2nd,Price 3rd,,Combo Costs,,
Molten Gold,40,40,40,120,,Molten-Gold,Molten Gold
Namine Hymntide,25,,,25,,Namine-Hymntide,Namine Hymntide
Noah Redmoon,12,,,12,,Noah-Redmoon,Noah Redmoon
Odette Diamondcrest,0,,,0,,Odette-Diamondcrest,Odette Diamondcrest
One-Hundred Blades,25,25,25,75,,One-Hundred-Blades,One-Hundred Blades
Open Memories,50,2,2,54,,Open-Memories,Open Memories
Orrick Gilstream,66,,,66,,Orrick-Gilstream,Orrick Gilstream
Out of the Mist,9,9,9,27,,Out-of-the-Mist,Out of the Mist
Particle Shield,20,20,20,60,,Particle-Shield,Particle Shield
Phoenix Barrage,33,33,33,99,,Phoenix-Barrage,Phoenix Barrage
Poison,3,3,3,9,,Poison,Poison
Polarity Mage,16,5,5,26,,Polarity-Mage,Polarity Mage
Power Through,16,16,12,44,,Power-Through,Power Through
Prepare,10,8,8,26,,Prepare,Prepare
Protect,1,1,1,3,,Protect,Protect
Purge,1,1,1,3,,Purge,Purge
Rayward Knight,3,3,3,9,,Rayward-Knight,Rayward Knight
Redirect,9,9,9,27,,Redirect,Redirect
Reflections in the Water,2,1,1,4,,Reflections-in-the-Water,Reflections in the Water
Refresh,1,1,1,3,,Refresh,Refresh
Regress,20,20,20,60,,Regress,Regress
Remorse,2,2,2,6,,Remorse,Remorse
Rin Northfell,25,,,25,,Rin-Northfell,Rin Northfell
Rin's Fury,33,33,33,99,,Rin's-Fury,Rin's Fury
River Skald,20,20,20,60,,River-Skald,River Skald
Root Armor,1,1,1,3,,Root-Armor,Root Armor
Rose Fire Dancer,6,6,6,18,,Rose-Fire-Dancer,Rose Fire Dancer
Royal Charm,6,6,6,18,,Royal-Charm,Royal Charm
Saria Guideman,25,,,25,,Saria-Guideman,Saria Guideman
Seal,3,3,3,9,,Seal,Seal
Secret Door,9,1,1,11,,Secret-Door,Secret Door
Shadow Counter,3,1,1,5,,Shadow-Counter,Shadow Counter
Shatter Pulse,1,1,1,3,,Shatter-Pulse,Shatter Pulse
Shield Mage,3,3,3,9,,Shield-Mage,Shield Mage
Shifting Mist,40,12,12,64, +20 with Butterfly Monks and/or Shadow Spirits,Shifting-Mist,Shifting Mist
Sleeping Bear,15,10,10,35,,Sleeping-Bear,Sleeping Bear
Sleight of Hand,10,1,1,12,,Sleight-of-Hand,Sleight of Hand
Small Sacrifice,4,6,6,16,,Small-Sacrifice,Small Sacrifice
Sonic Swordsman,50,35,35,120,,Sonic-Swordsman,Sonic Swordsman
Spear Master,2,2,2,6,,Spear-Master,Spear Master
Spiked Armor,1,1,1,3,,Spiked-Armor,Spiked Armor
Squire,4,2,2,8,,Squire,Squire
Steady Gaze,6,6,6,18,,Steady-Gaze,Steady Gaze
Stormwind Sniper,12,12,12,36,,Stormwind-Sniper,Stormwind Sniper
Strange Copy,3,1,1,5,,Strange-Copy,Strange Copy
Strengthen,1,1,1,3,,Strengthen,Strengthen
String Mage,25,20,20,65,,String-Mage,String Mage
Summon Biter,6,1,1,8,,Summon-Biter,Summon Biter
Summon Blood Puppet,6,6,6,18,,Summon-Blood-Puppet,Summon Blood Puppet
Summon Blue Jaguar,33,33,33,99,,Summon-Blue-Jaguar,Summon Blue Jaguar
Summon Butterfly Monk,30,35,35,100,,Summon-Butterfly-Monk,Summon Butterfly Monk
Summon Dread Wraith,6,6,6,18,,Summon-Dread-Wraith,Summon Dread Wraith
Summon Emperor Lion,95,25,10,130,,Summon-Emperor-Lion,Summon Emperor Lion
Summon False Demon,3,1,1,5,,Summon-False-Demon,Summon False Demon
Summon Frostback Bear,95,25,25,145,,Summon-Frostback-Bear,Summon Frostback Bear
Summon Gilder,80,25,25,130,,Summon-Gilder,Summon Gilder
Summon Ice Golem,3,1,1,5,,Summon-Ice-Golem,Summon Ice Golem
Summon Indiglow Creeper,20,20,20,60,,Summon-Indiglow-Creeper,Summon Indiglow Creeper
Summon Iron Rhino,1,0,0,1,,Summon-Iron-Rhino,Summon Iron Rhino
Summon Light Bringer,6,1,1,8,,Summon-Light-Bringer,Summon Light Bringer
Summon Lucky Rabbit,12,12,1,25,,Summon-Lucky-Rabbit,Summon Lucky Rabbit
Summon Masked Wolf,3,3,3,9,,Summon-Masked-Wolf,Summon Masked Wolf
Summon Mirror Spirit,12,12,12,36,,Summon-Mirror-Spirit,Summon Mirror Spirit
Summon Mist Spirit,2,2,2,6,,Summon-Mist-Spirit,Summon Mist Spirit
Summon Nightshade Swallow,1,0,0,1,,Summon-Nightshade-Swallow,Summon Nightshade Swallow
Summon Orchid Dove,12,12,12,36,,Summon-Orchid-Dove,Summon Orchid Dove
Summon Salamander Monk,9,2,0,11,,Summon-Salamander-Monk,Summon Salamander Monk
Summon Seaside Raven,12,1,1,14,,Summon-Seaside-Raven,Summon Seaside Raven
Summon Shadow Hound,2,2,2,6,,Summon-Shadow-Hound,Summon Shadow Hound
Summon Shadow Spirit,25,35,40,100,,Summon-Shadow-Spirit,Summon Shadow Spirit
Summon Silver Snake,25,25,12,62,,Summon-Silver-Snake,Summon Silver Snake
Summon Sleeping Widows,16,16,16,48,,Summon-Sleeping-Widows,Summon Sleeping Widows
Summon Squall Stallion,33,3,3,39,,Summon-Squall-Stallion,Summon Squall Stallion
Summon Steadfast Guardian,1,1,1,3,,Summon-Steadfast-Guardian,Summon Steadfast Guardian
Summon Three-Eyed Owl,80,12,12,104,,Summon-Three-Eyed-Owl,Summon Three-Eyed Owl
Summon Turtle Guard,90,12,2,104,,Summon-Turtle-Guard,Summon Turtle Guard
Summon Weeping Spirit,3,3,3,9,,Summon-Weeping-Spirit,Summon Weeping Spirit
Summon Winged Lioness,95,25,25,145,,Summon-Winged-Lioness,Summon Winged Lioness
Sun Sister,6,6,6,18,,Sun-Sister,Sun Sister
Sword of Virtue,25,15,15,55,,Sword-of-Virtue,Sword of Virtue
Sympathy Pain,25,25,25,75,,Sympathy-Pain,Sympathy Pain
Temple Elder,2,2,2,6,,Temple-Elder,Temple Elder
To Shadows,0,0,0,0,,To-Shadows,To Shadows
Transfer,1,1,1,3,,Transfer,Transfer
Undying Heart,1,1,1,3,,Undying-Heart,Undying Heart
Vanish,2,2,2,6,,Vanish,Vanish
Victoria Glassfire,40,,,40, +25 with Shadow Hounds,Victoria-Glassfire,Victoria Glassfire
